"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"1","BOWA",1,8,1,"c1",35.453351431381,92.5630395644874,63.9357299573461,"1","0"
"2","BOWA",2,8,1,"c2",37.6099930435776,92.7141026650569,65.0548640142148,"2","0"
"3","BOWA",3,8,1,"c3",39.0701126080626,94.304797454577,66.1739980710835,"3","0"
"4","PETE",1,51,2,"c1",11.1925231965371,29.2300189607164,19.9446406844501,"1","1"
"5","PETE",2,52,2,"c2",13.9940286005474,31.6189849720925,22.7012929134353,"2","1"
"6","PETE",3,52,2,"c3",16.3573072301667,34.3897227634024,25.4579451424205,"3","1"
"7","COLO",2,47,3,"c2",26.3488283841988,46.7987612926691,36.2528584147398,"2","0"
"8","COLO",3,47,3,"c3",26.8592688668778,47.3648544833619,37.2518292828528,"3","0"
"9","APCO",1,28,4,"c1",43.6438743054602,71.5315207597525,57.5880347247028,"1","0"
"10","APCO",2,28,4,"c2",44.3210832567864,72.1398316638086,58.3266493316368,"2","0"
"11","APCO",3,28,4,"c3",44.6096375866583,73.3918891459454,59.0652639385707,"3","0"
"12","RICH",1,32,5,"c1",22.7139198615962,50.9119984526258,37.596069184612,"1","0"
"13","RICH",2,32,5,"c2",24.8556623915168,52.5631982975225,39.1877148151328,"2","0"
"14","RICH",3,32,5,"c3",26.4521919591301,54.3305656275112,40.7793604456537,"3","0"
"15","BLUE",1,27,6,"c1",14.1533758901271,37.7879606758934,26.1319937147367,"1","0"
"16","BLUE",2,39,6,"c2",16.4397636015305,39.7743393942209,28.0539084669107,"2","0"
"17","BLUE",3,40,6,"c3",17.9789580130268,42.4469455651471,29.9758232190848,"3","0"
"18","NERI",1,78,7,"c1",5.30073873985639,16.2796996496314,10.9102037858004,"1","1"
"19","NERI",2,101,7,"c2",6.784086803547,17.6426379732577,12.1764973525134,"2","1"
"20","NERI",3,102,7,"c3",8.02649838391592,18.7571846145673,13.4427909192265,"3","1"
"21","GEWA",1,8,8,"c1",13.2212139390499,66.587320468857,39.4666519614734,"1","1"
"22","GEWA",2,8,8,"c2",23.2733813688768,76.6411751557111,49.4061607657628,"2","1"
"23","GEWA",3,6,8,"c3",31.5028334824477,86.9539239511453,59.3456695700522,"3","1"
"24","GARI",1,26,9,"c1",0.893890456708024,16.6355786849137,8.94613037252524,"1","1"
"25","GARI",2,38,9,"c2",4.13562873873908,19.2064490701309,11.4587799340907,"2","1"
"26","GARI",3,43,9,"c3",6.54280868531396,21.5997714344268,13.9714294956562,"3","1"
"27","FRSP",1,104,10,"c1",3.35931864942492,11.2003038657855,7.29328111210235,"1","0"
"28","FRSP",2,104,10,"c2",3.84303433274278,11.836324657589,7.94658927096539,"2","0"
"29","FRSP",3,104,10,"c3",4.22387286515114,12.8199937558926,8.59989742982843,"3","0"
"30","THST",1,8,11,"c1",36.5103323001449,90.6637761577033,63.5631210961269,"1","0"
"31","THST",2,8,11,"c2",40.8911191500474,95.9952694079536,68.117801508962,"2","0"
"32","THST",3,6,11,"c3",44.3039486215866,100.641488050185,72.6724819217972,"3","0"
"33","PRWI",1,145,12,"c1",4.29659472405719,9.37606836726874,6.93622644168984,"1","1"
"34","PRWI",2,145,12,"c2",3.34711005812999,8.3849427343984,5.94886874258895,"2","1"
"35","PRWI",3,145,12,"c3",2.31183405753013,7.44850510172685,4.96151104348807,"3","1"
"36","MANA",1,17,13,"c1",43.5967523000155,76.7157149609044,60.1115996600751,"1","1"
"37","MANA",2,17,13,"c2",48.5984609098291,80.0585750587238,64.3158893036993,"2","1"
"38","MANA",3,17,13,"c3",51.9935874256141,85.540919589487,68.5201789473235,"3","1"
"39","NACE",1,45,14,"c1",45.7531361590044,68.690425666451,57.0843778017238,"1","0"
"40","NACE",2,47,14,"c2",49.1900915371387,70.3162148486528,59.6726870816359,"2","0"
"41","NACE",3,48,14,"c3",51.5083962588777,73.2281473739621,62.2609963615479,"3","0"
"42","GWMP",1,20,15,"c1",31.8849276030595,67.6348662806176,49.8484781195925,"1","0"
"43","GWMP",2,20,15,"c2",33.5902098070681,69.6265552044379,51.7298058650942,"2","0"
"44","GWMP",3,20,15,"c3",34.9209385486074,71.8174908876711,53.6111336105959,"3","0"
"45","WOTR",1,1,16,"c1",12.470540075109,79.4772665522892,46.2864943047111,"1","0"
"46","WOTR",2,6,16,"c2",17.7939996178702,82.6460647413414,50.9500712358556,"2","0"
"47","WOTR",3,6,16,"c3",22.469829512559,87.5635484846679,55.6136481670001,"3","0"
"48","ROCR",1,19,17,"c1",41.280002045027,77.7140888927701,59.1221470676567,"1","0"
"49","ROCR",2,19,17,"c2",41.7944409541478,78.4224286822514,60.0341298353198,"2","0"
"50","ROCR",3,19,17,"c3",42.7475877638986,78.5026775203565,60.9461126029829,"3","0"
"51","HAFE",1,20,18,"c1",31.4899931721134,63.804145035883,47.7840365051776,"1","0"
"52","HAFE",2,20,18,"c2",35.6209234565023,66.0652184667684,50.9564095435562,"2","0"
"53","HAFE",3,20,18,"c3",38.2981050016091,70.4445993262545,54.1287825819347,"3","0"
"54","CHOH",1,74,19,"c1",66.0997762963035,82.6277037202334,74.0730917397572,"1","0"
"55","CHOH",2,75,19,"c2",67.1164197748767,83.4450635865162,75.0179378253233,"2","0"
"56","CHOH",3,75,19,"c3",67.8471853867349,84.8038904263319,75.9627839108895,"3","0"
"57","MONO",1,6,20,"c1",75.4075703413851,103.116955297287,89.925169298091,"1","0"
"58","MONO",2,15,20,"c2",75.9687647211075,102.421901844187,89.8969116517406,"2","0"
"59","MONO",3,15,20,"c3",77.1965568239465,102.182372274442,89.8686540053903,"3","0"
"60","ANTI",1,7,21,"c1",60.598080746948,90.9633307677196,76.1737956979906,"1","1"
"61","ANTI",2,12,21,"c2",71.8851132318566,95.4703577546693,83.951330439974,"2","1"
"62","ANTI",3,13,21,"c3",78.6760771574047,105.241964648068,91.7288651819575,"3","1"
"63","CATO",1,49,22,"c1",34.4440350756369,56.2734170794349,45.4345722751497,"1","1"
"64","CATO",2,49,22,"c2",38.8623570931439,59.7150463814776,49.407533649139,"2","1"
"65","CATO",3,49,22,"c3",42.7294180838337,63.4284351186044,53.3804950231284,"3","1"
"66","FRHI",1,15,23,"c1",57.1098572125067,80.2522357408238,68.7282043484543,"1","1"
"67","FRHI",2,20,23,"c2",65.8381697363913,87.3558827773111,76.6218709682172,"2","1"
"68","FRHI",3,20,23,"c3",73.287784870509,95.7968139007528,84.51553758798,"3","1"
"69","FONE",1,15,24,"c1",21.252022864624,53.2796203850265,37.6415237473908,"1","1"
"70","FONE",2,20,24,"c2",27.4845252639802,58.0879531204157,43.050800421154,"2","1"
"71","FONE",3,20,24,"c3",33.0274579514567,63.6695725566536,48.4600770949172,"3","1"
"72","GETT",1,32,25,"c1",77.0600986247782,90.5292080731041,84.2314454524729,"1","1"
"73","GETT",2,33,25,"c2",82.4253262558456,94.550222303263,88.9243562853637,"2","1"
"74","GETT",3,33,25,"c3",86.3285877182972,99.9544958315588,93.6172671182544,"3","1"
"75","VAFO",1,28,26,"c1",45.6665965449967,76.6091871532474,61.8643668680705,"1","1"
"76","VAFO",2,28,26,"c2",49.8849120900262,80.8316075388225,65.8277903253548,"2","1"
"77","VAFO",3,28,26,"c3",53.8003055334239,85.2964804117718,69.7912137826391,"3","1"
"78","HOFU",1,16,27,"c1",45.172094504307,81.544864479483,63.4472386869152,"1","1"
"79","HOFU",2,16,27,"c2",50.854847174552,87.0144375965534,68.6456134647784,"2","1"
"80","HOFU",3,16,27,"c3",55.9106187330344,93.476813040952,73.8439882426415,"3","1"
"81","JOFL",1,9,28,"c1",3.05537689734669,37.5164740287665,19.7298373728916,"1","0"
"82","JOFL",2,12,28,"c2",9.53822001379121,40.8546959513809,24.6364487406651,"2","0"
"83","JOFL",3,12,28,"c3",13.4983324203407,47.2074447722904,29.5430601084385,"3","0"
"84","ALPO",1,16,29,"c1",0.415298098215949,31.7427108943475,17.1109129254099,"1","1"
"85","ALPO",2,22,29,"c2",5.34879084013239,34.7004168266542,20.9016591081752,"2","1"
"86","ALPO",3,22,29,"c3",9.15574136762692,38.192732728553,24.6924052909406,"3","1"
"87","MORR",1,28,30,"c1",56.7520722322131,86.3023324134968,71.3320052027048,"1","0"
"88","MORR",2,28,30,"c2",58.7763839057563,88.6643936439507,73.1602915226539,"2","0"
"89","MORR",3,28,30,"c3",60.5657060951308,90.3899642358691,74.988577842603,"3","0"
"90","SAHI",1,4,31,"c1",62.214604262319,93.0738688528688,78.1936595570013,"1","0"
"91","SAHI",2,4,31,"c2",71.7013011004089,94.7250272413884,83.4103099398467,"2","0"
"92","SAHI",3,4,31,"c3",72.3287698806652,104.882791206361,88.6269603226921,"3","0"
"93","DEWA",1,76,32,"c1",33.1378249037802,49.2387706820016,41.2629052371536,"1","0"
"94","DEWA",2,102,32,"c2",33.5866577903474,49.6500554719087,41.8754558803919,"2","0"
"95","DEWA",3,102,32,"c3",34.005458358589,50.6777428470696,42.4880065236302,"3","0"
"96","WEFA",1,10,33,"c1",9.28724971861449,52.105738737446,31.534729636653,"1","1"
"97","WEFA",2,10,33,"c2",19.3037902800756,59.1054486556466,39.6451515370661,"2","1"
"98","WEFA",3,10,33,"c3",26.8994822561342,67.9155708408729,47.7555734374793,"3","1"
"99","ROVA",1,40,34,"c1",35.3269174929644,56.9780698710069,45.8949969137516,"1","0"
"100","ROVA",2,40,34,"c2",36.4705989098419,56.5971766082639,46.3654707590888,"2","0"
"101","ROVA",3,40,34,"c3",36.2128379772935,58.4611423298266,46.835944604426,"3","0"
"102","MIMA",1,20,35,"c1",67.6944004889234,89.603865702513,78.0546176400082,"1","0"
"103","MIMA",2,20,35,"c2",66.653516798505,88.1804420590112,77.0974773070036,"2","0"
"104","MIMA",3,20,35,"c3",65.0004627205409,87.1436702274794,76.140336973999,"3","0"
"105","SARA",1,31,36,"c1",53.6153988329774,74.3842493246284,63.7029236887257,"1","1"
"106","SARA",2,32,36,"c2",59.6102723949421,80.1052094250754,69.4291197922195,"2","1"
"107","SARA",3,32,36,"c3",64.5906534289062,86.4494309332626,75.1553158957133,"3","1"
"108","SAGA",1,21,37,"c1",-2.05680151910099,9.61503390644422,4.10514839548948,"1","0"
"109","SAGA",2,21,37,"c2",0.390779140081641,11.3790007711745,6.14151008888338,"2","0"
"110","SAGA",3,21,37,"c3",1.67004048923758,14.4391432022425,8.17787178227728,"3","0"
"111","MABI",1,24,38,"c1",-1.20336702591554,3.22290570142337,0.972582154990837,"1","0"
"112","MABI",2,24,38,"c2",0.514726903313415,3.98400297784045,2.24599245439916,"2","0"
"113","MABI",3,24,38,"c3",1.1887281440346,5.95315030853008,3.51940275380748,"3","0"
"114","ACAD",1,173,39,"c1",-0.129633471398816,0.124498163853212,-0.00129756502072494,"1","0"
"115","ACAD",2,176,39,"c2",-0.0278731643652694,0.173856724659387,0.0711314549187803,"2","0"
"116","ACAD",3,176,39,"c3",0.0151952469338568,0.27178601452359,0.143560474858286,"3","0"
